time,cycle,phase,x,y,z,xy_distance,roll_degrees,pitch_degrees,yaw_degrees,tilt_degrees,left_leg_hinge,right_leg_hinge,ctrl
5.581999999999607,3,right_nudge,0.0037331077665278445,-1.2558170858085374e-06,0.07541498656474768,0.0037331079777562105,-0.002367667669976978,26.8551639418336,-0.06622561847165036,26.8551639418336,-0.4592538457535376,-0.4617137391934972,"[0.0, -0.1]"
5.601999999999605,3,right_nudge,0.00375597002463888,-2.1265296066227966e-06,0.07540453045250979,0.0037559706266308787,-0.0025423480252202203,27.042415346160567,-0.08183657206791381,27.042415346160567,-0.4621950158623746,-0.46523375693835345,"[0.0, -0.1]"
5.621999999999603,3,right_nudge,0.0037800334966026448,-2.9266981848507028e-06,0.07539380831699163,0.003780034629603317,-0.002698558074619602,27.233034493058717,-0.09577634471159693,27.233034493058717,-0.46521484968688903,-0.46876983830150254,"[0.0, -0.1]"
5.641999999999601,3,right_nudge,0.003804495090200935,-3.6490879042353317e-06,0.07538291008887284,0.003804496840214952,-0.0028372640443216587,27.425629051852447,-0.10804675337052125,27.425629051852447,-0.46829798848127824,-0.4723070581097572,"[0.0, -0.1]"
5.6619999999995985,3,right_nudge,0.003828826255637084,-4.29555821053541e-06,0.07537189113607283,0.003828828665228601,-0.002959945772435828,27.61931735280339,-0.11876810637812274,27.61931735280339,-0.4714326166379899,-0.47583823326719166,"[0.0, -0.1]"
5.681999999999596,3,right_nudge,0.003852765586569715,-4.8718756317624365e-06,0.07536078120413452,0.0038527686668457075,-0.003068138693193709,27.813599864697643,-0.12809963980324765,27.813599864697643,-0.47460968937848347,-0.479360304412238,"[0.0, -0.1]"
5.701999999999594,3,right_nudge,0.0038762511120987884,-5.385112268521646e-06,0.07534959275733977,0.0038762548527517173,-0.0031634059371989476,28.008237477098987,-0.13620487096590905,28.008237477098987,-0.47782227276030076,-0.4828724371036294,"[0.0, -0.1]"
5.721999999999592,3,right_nudge,0.0038993396874561492,-5.842411495370229e-06,0.07533832794270422,0.0038993440643193696,-0.0032473292911458242,28.203149637549707,-0.1432373904702277,28.203149637549707,-0.4810650283599814,-0.4863750012673822,"[0.0, -0.1]"
5.74199999999959,3,right_nudge,0.003922138842948771,-6.25045876907156e-06,0.07532698379578726,0.003922143823421363,-0.003321452976041742,28.398338410689455,-0.14933584377312953,28.398338410689455,-0.48433381980310564,-0.48986900293474983,"[0.0, -0.1]"
5.7619999999995875,3,right_nudge,0.003944760434766774,-6.615298705064953e-06,0.0753155556806939,0.003944765981636719,-0.0033872110220881727,28.593838235881265,-0.15462295651100458,28.593838235881265,-0.4876254129039223,-0.49335575464566384,"[0.0, -0.1]"
5.781999999999585,3,right_nudge,0.003967295700102089,-6.942309637473119e-06,0.0753040392295586,0.00396730177421779,-0.0034458720142706276,28.789687156270993,-0.15920626102750085,28.789687156270993,-0.4909372475758262,-0.49683667795868414,"[0.0, -0.1]"
5.801999999999583,3,right_nudge,0.003989806695762542,-7.236241550050198e-06,0.07529243117874541,0.0039898132578785415,-0.0034985151667621056,28.985913648044555,-0.16317946472995387,28.985913648044555,-0.4942672659469611,-0.5003131842237727,"[0.0, -0.1]"
5.821999999999581,3,right_nudge,0.0040123279608240935,-7.501274038890951e-06,0.07528072950775838,0.004012334972845991,-0.0035460351312486776,29.182533283022618,-0.16662398705031542,29.182533283022618,-0.4976137849979376,-0.5037866050092873,"[0.0, -0.1]"
5.841999999999579,3,right_nudge,0.004034873052142745,-7.741076548436419e-06,0.07526893321825323,0.004034880477929158,-0.0035891652555136906,29.37955054481898,-0.1696104595000695,29.37955054481898,-0.5009754041515823,-0.50725815544952,"[0.0, -0.1]"
5.861999999999576,3,right_nudge,0.004057442186306653,-7.958864890668172e-06,0.07525704199098826,0.004057449992144236,-0.0036285082878868904,29.576962543319656,-0.17220010580348588,29.576962543319656,-0.5043509395719118,-0.5107289195273784,"[0.0, -0.1]"
5.881999999999574,3,right_nudge,0.00408002884074135,-8.157452774733918e-06,0.07524505586145964,0.0040800369955819,-0.003664566358850123,29.774762708006943,-0.1744459751998087,29.774762708006943,-0.5077393780984223,-0.5141998494441077,"[0.0, -0.1]"
5.901999999999572,3,right_nudge,0.00410262444757441,-8.339298548535116e-06,0.07523297497819222,0.004102632923103835,-0.0036977657778908303,29.972943574723026,-0.1763940274836899,29.972943574723026,-0.5111398449818244,-0.5176717733156736,"[0.0, -0.1]"
5.92199999999957,3,right_nudge,0.00412522114624333,-8.506547566943893e-06,0.07522079945657158,0.004125229916836714,-0.003728475273466953,30.171498459669483,-0.17808407946694288,30.171498459669483,-0.5145515808812833,-0.5211454070683512,"[0.0, -0.1]"
